update,action_saturation,approx_kl,c_frac_env,clip_frac,entropy,explained_variance,grad_norm,l_env,policy_loss,returned_episode_returns,step_reward,total_loss,value_loss
511,0.0,0.010180032,0.16106346,0.12294687,-3.8738537,0.62330604,76.107315,0.0,0.004451665,171.27435,0.8568052,1.3531872,2.6974711
512,0.0,0.009640278,0.15981944,0.11880573,-3.8752499,0.62790215,76.72761,0.0,0.0042125415,171.36499,0.86075497,1.3315822,2.6547394
513,0.0,0.0113957,0.15979941,0.13900574,-3.8767495,0.6224586,89.52958,0.0,0.005105733,172.15717,0.8669242,1.3484095,2.6866074
514,0.0,0.010417882,0.15981497,0.1294901,-3.8789163,0.62033844,78.33659,0.0,0.004389751,173.3836,0.86568826,1.3645065,2.7202332
515,0.0,0.012530848,0.16011958,0.13384064,-3.8817046,0.61576176,80.75765,0.0,0.0059340894,173.13326,0.8612757,1.3681958,2.7245235
516,0.0,0.012171548,0.15929328,0.15000625,-3.8832645,0.6298869,91.09949,0.0,0.005624314,172.25702,0.86316824,1.3590968,2.706945
517,0.0,0.0093589965,0.15917341,0.11386719,-3.8844335,0.63193905,73.32465,0.0,0.003979466,172.63614,0.86566776,1.3473072,2.6866555
518,0.0,0.0068081426,0.1595442,0.08575104,-3.887169,0.62560534,58.9516,0.0,0.0023601842,173.13547,0.8675982,1.3384356,2.672151
519,0.0,0.009517815,0.16029061,0.121649995,-3.8901434,0.5997366,81.65074,0.0,0.0039771963,173.5101,0.8580792,1.4110425,2.8141305
520,0.0,0.01552408,0.15895796,0.18576717,-3.8920364,0.6205551,111.36919,0.0,0.0075281067,171.62857,0.8708083,1.3543475,2.6936388
521,0.0,0.0113511775,0.16025724,0.1406427,-3.8943357,0.6338923,88.8461,0.0,0.005200911,174.1462,0.8553733,1.3331056,2.6558094
522,0.0,0.014235932,0.15923792,0.175475,-3.8960516,0.6068796,111.39459,0.0,0.006650106,171.0837,0.86442614,1.3896666,2.7660327
523,0.0,0.0072526317,0.16053014,0.08920052,-3.8972716,0.63016915,60.418617,0.0,0.0027894205,172.88116,0.86038023,1.3676319,2.7296848
524,0.0,0.009303609,0.16038615,0.10897396,-3.899394,0.61315703,65.33312,0.0,0.0035893545,172.07907,0.86340237,1.3758008,2.744423
525,0.0,0.009842038,0.16009901,0.12043698,-3.9016156,0.6190784,77.80315,0.0,0.0041991677,172.6826,0.86552835,1.35875,2.7091017
526,0.0,0.0063074008,0.16009158,0.07740625,-3.9057884,0.6256386,52.86452,0.0,0.0021869452,173.10364,0.86348724,1.3704041,2.7364345
527,0.0,0.012204579,0.1605211,0.13518855,-3.9097393,0.6170089,86.36444,0.0,0.00556855,172.697,0.86304927,1.3717321,2.732327
528,0.0,0.0091020325,0.16052164,0.11426511,-3.912279,0.625779,78.51809,0.0,0.0036855228,172.6104,0.8635998,1.3547349,2.7020988
529,0.0,0.008271582,0.16021831,0.10167968,-3.9144082,0.610662,70.56244,0.0,0.003359173,172.72343,0.86709285,1.368189,2.7296596
530,0.0,0.011621845,0.16094553,0.14242241,-3.9147913,0.62989295,93.22962,0.0,0.0053048003,173.41377,0.86229944,1.3446603,2.678711
531,0.0,0.01052844,0.16095684,0.13778698,-3.9162078,0.63074803,91.21043,0.0,0.0045386357,172.46172,0.86413556,1.3558491,2.702621
532,0.0,0.012761388,0.16062094,0.15242657,-3.9184475,0.63228524,97.74682,0.0,0.005718967,172.83098,0.86801976,1.3566726,2.7019074
533,0.0,0.007635911,0.16087703,0.096755214,-3.9205987,0.6405784,67.863686,0.0,0.003016741,173.602,0.86608577,1.3352334,2.6644332
534,0.0,0.013788754,0.16090444,0.15492553,-3.922123,0.61886966,95.07657,0.0,0.006297687,173.21379,0.8627202,1.3795497,2.746504
535,0.0,0.01076363,0.16075042,0.13179843,-3.9233232,0.6411661,89.20993,0.0,0.0048710727,172.54271,0.8613874,1.3314393,2.6531363
536,0.0,0.01101343,0.16081578,0.13609636,-3.9242685,0.61170626,88.35385,0.0,0.005044006,172.2768,0.86071396,1.3880908,2.7660937
537,0.0,0.0113389995,0.1614817,0.1368849,-3.9255505,0.6217121,91.79535,0.0,0.00502987,172.1401,0.8580236,1.3724657,2.7348714
538,0.0,0.009007326,0.16006184,0.11297552,-3.9284568,0.6155379,77.215225,0.0,0.0036202266,171.61302,0.86633945,1.3736292,2.740018
539,0.0,0.01370035,0.16105588,0.15616354,-3.930365,0.63462627,100.564514,0.0,0.0063580647,173.26306,0.86150146,1.3445686,2.6764212
540,0.0,0.0073488094,0.16133554,0.091227084,-3.931429,0.64237946,65.42234,0.0,0.0027770288,172.29927,0.86048055,1.3401647,2.6747754
541,0.0,0.0069046263,0.16141415,0.08251198,-3.9334722,0.6266512,55.89826,0.0,0.0026664278,172.09528,0.8596487,1.3619255,2.7185183
542,0.0,0.009214067,0.16135016,0.115125,-3.9357882,0.6444988,80.80579,0.0,0.0040203417,171.93134,0.86123896,1.3239541,2.6398675
543,0.0,0.0093663195,0.16166635,0.11649792,-3.937906,0.6483562,81.93532,0.0,0.0039220224,172.24648,0.85991263,1.307596,2.607348
544,0.0,0.009098418,0.16139503,0.11008282,-3.9394827,0.6207104,73.00878,0.0,0.0035765488,171.9863,0.8636945,1.3639803,2.7208076
545,0.0,0.0055010067,0.1623696,0.06724115,-3.9412436,0.6350708,52.62468,0.0,0.001795337,172.73387,0.8586962,1.3140996,2.6246085
546,0.0,0.0089060785,0.16268057,0.112584375,-3.9425523,0.6160125,80.97365,0.0,0.0036306875,171.74094,0.8603665,1.3661628,2.725064
547,0.0,0.0079587,0.16217895,0.09909375,-3.9448876,0.6348705,71.68195,0.0,0.0032236853,172.07417,0.86123127,1.328858,2.6512685
548,0.0,0.008779397,0.1627369,0.10958177,-3.9472914,0.6268332,78.385635,0.0,0.0036086785,172.24026,0.8552654,1.3537292,2.700241
549,0.0,0.0076113213,0.16212015,0.09678646,-3.9491515,0.6267853,70.32006,0.0,0.0030220863,171.05861,0.86079097,1.349545,2.6930456
550,0.0,0.005849728,0.16131914,0.06971094,-3.9511564,0.61845195,51.72766,0.0,0.0018773112,172.1608,0.86341995,1.3757105,2.7476664
551,0.0,0.010392294,0.16243477,0.13018802,-3.952971,0.62660253,92.63733,0.0,0.0045470046,172.67484,0.85428363,1.3775115,2.745929
552,0.0,0.008494783,0.16256599,0.09963489,-3.9547029,0.63201255,69.71994,0.0,0.0034451205,170.8573,0.85486734,1.3508682,2.6948462
553,0.0,0.0061479066,0.16144852,0.0769974,-3.9561377,0.6189739,61.62095,0.0,0.0020765658,170.98514,0.8665315,1.368856,2.733559
554,0.0,0.00676021,0.16142942,0.0837349,-3.956987,0.6483018,57.272537,0.0,0.0023248212,173.30345,0.86367756,1.2887919,2.5729342
555,0.0,0.007884383,0.16151656,0.10138281,-3.9587977,0.63304234,75.572754,0.0,0.0030687673,172.73207,0.86023235,1.3560538,2.70597
556,0.0,0.009391381,0.16172041,0.11561302,-3.9600902,0.6313386,83.58121,0.0,0.0041103377,172.05162,0.86538035,1.3537488,2.699277
557,0.0,0.005995344,0.16341227,0.07545,-3.9609108,0.64098966,58.355133,0.0,0.0019452712,173.06288,0.85219586,1.3279767,2.652063
558,0.0,0.0062934635,0.16306211,0.07765886,-3.9622645,0.63712806,60.72604,0.0,0.002201641,170.4455,0.85852504,1.3409331,2.6774628
559,0.0,0.006744449,0.1630435,0.08047135,-3.9644005,0.6425355,59.011986,0.0,0.0024300097,171.70715,0.86067104,1.3314462,2.6580324
560,0.0,0.00860049,0.1632001,0.11094323,-3.9664364,0.63718665,81.6341,0.0,0.0033852924,172.1303,0.85677004,1.3544483,2.7021265
561,0.0,0.006598666,0.16276056,0.08008333,-3.9677348,0.6349295,61.32539,0.0,0.002241588,171.35896,0.86172265,1.3412635,2.678044
562,0.0,0.007837793,0.16389655,0.09738281,-3.9686875,0.6450605,76.03413,0.0,0.0032338107,172.33827,0.8554368,1.3399174,2.673367
563,0.0,0.008065455,0.16369393,0.09769167,-3.9710355,0.64838064,72.43317,0.0,0.0032988014,171.09657,0.8646564,1.3191577,2.6317177
564,0.0,0.010216061,0.16548206,0.12929063,-3.972732,0.64639145,94.28228,0.0,0.004438986,172.91797,0.8513535,1.329869,2.6508598
565,0.0,0.00873512,0.166032,0.10980677,-3.973723,0.6524332,79.47609,0.0,0.0036647348,170.26936,0.85001636,1.3190598,2.6307902
566,0.0,0.006619391,0.16505377,0.07993229,-3.9755147,0.63794875,65.1304,0.0,0.0024641156,170.00664,0.8533829,1.3324203,2.6599123
567,0.0,0.0063209813,0.16617584,0.080405205,-3.977233,0.6521322,64.291046,0.0,0.002185503,170.67369,0.8505002,1.3124843,2.6205976
